word,vens-a,vens-b
'bout,'bout,'̰bo̱ut
'cause,'caụse,'̰ca̰ụsḛ
'course,'course,'̰co̱ursḛ
'cuse,'cuse,'̰cu̱sḛ
'em,'ẹm,'̰ẹm
'frisco,'fríscō,'̰frí̱scō
'gain,'gain,'̰ga̱in
'kay,'kay,'̰ka̱y
'm,'m,'m
'n,'n,'n
'round,'round,'̰ro̱und
's,'s,'̱s
'til,'tíl,'̰tí̱l
'tis,'tís,'̰tí̱s
'twas,'twàs,'̰twà̱s
a,ā,ā̱
a's,ā's,ā̱'s
a.,a.,a̰.̱
a.'s,a.'s,a̰.̱'s
a.d.,a.d.,a̳.d.̱
a.m.,ā.m.,ā̳.̱m.
a.s,a.s,a̰.̱s
aaberg,ầaberg,ầ̱a̰berg
aachen,ầachẹn,ầ̱a̰ch̰ẹn
aachener,ầachẹner,ầ̱a̰ch̰ẹner
aaker,ầaker,ầ̱a̰ker
aaliyah,ầaliyầh,ầ̳a̰li̱yầ̳h̰
aalseth,ầalsẽth,ầ̱a̰lsẽth
aamodt,ầamọdt,ầ̱a̰mọd̰t
aancor,ầancổr,ầ̱a̰ncổ̳r
aardema,ầardẽmạ,ầa̰rdẽ̱mạ
aardvark,ầardvầrk,ầ̱a̰rdvầ̳rk
aardvarks,ầardvầrks,ầ̱a̰rdvầ̳rks
aargh,ầargh,ầ̱a̰rgh̰
aarhus,ầarhüs,ầ̳a̰r̰hü̱s
aaron,ãarọn,ã̱a̰rọn
aaron's,ãarọn's,ã̱a̰rọn's
aarons,ãarọns,ã̱a̰rọns
aaronson,ầarọnsọn,ầ̱a̰rọnsọn
aaronson's,ầarọnsọn's,ầ̱a̰rọnsọn's
aarti,ầartï,ầ̱a̰rtï̳
aase,ầase,ầ̱a̰sḛ
aasen,ầasẹn,ầ̱a̰sẹn
ab,āb,ā̱ḇ
aba,ābā,ā̳b̳ā̱
ababa,ầbạbạ,ầ̱bạbạ
abacha,ẫbạchạ,ẫ̱bạch̰ạ
aback,ạbẫck,ạbẫ̱ck
abaco,ẫbạcō,ẫ̱bạcō̳
abacus,ẫbạcụs,ẫ̱bạcụs
abad,ạbầd,ạbầ̱d
abadaka,ạbẫdạkạ,ạbẫ̱dạkạ
abadi,ạbẫdï,ạbẫ̱dï
abadie,ạbẫdïe,ạbẫ̱dïḛ
abair,ạbair,ạba̱ir
abalkin,ạbầlkín,ạbầ̱lkín
abalone,ẫbạlōnế,ẫ̳bạlō̱nế
abalones,ẫbạlōnếs,ẫ̳bạlō̱nếs
abalos,ầbầlōs,ầbầ̱lōs
abandon,ạbẫndọn,ạbẫ̱ndọn
abandoned,ạbẫndọned,ạbẫ̱ndọnḛd
abandoning,ạbẫndọníng,ạbẫ̱ndọníng
abandonment,ạbẫndọnmẹnt,ạbẫ̱ndọnmẹnt
abandonments,ạbẫndọnmẹnts,ạbẫ̱ndọnmẹnts
abandons,ạbẫndọns,ạbẫ̱ndọns
abanto,ạbẫntō,ạbẫ̱ntō
abarca,ạbầrcạ,ạbầ̱rcạ
abare,ầbầrế,ầbầ̱rế
abascal,ẫbạscạl,ẫ̱bạscạl
abash,ạbẫsh,ạbẫ̱sh
abashed,ạbẫshed,ạbẫ̱shed
abasia,ạbāsïạ,ạbā̱sïạ
abate,ạbāte,ạbā̱tḛ
abated,ạbātéd,ạbā̱téd
abatement,ạbātemẹnt,ạbā̱tḛmẹnt
abatements,ạbātemẹnts,ạbā̱tḛmẹnts
abates,ạbātes,ạbā̱tḛs
abating,ạbātíng,ạbā̱tíng
abattoir,ẫbạttoir,ẫ̳bạttoi̱r
abba,ẫbbạ,ẫ̱bbạ
abbado,ạbbầdō,ạbbầ̱dō
abbas,ạbbầs,ạbbầ̱s
abbasi,ầbbầsï,ầbbầ̱sï
abbate,ầbbāte,ầ̱bbātḛ
abbatiello,ầbbầtïẽllō,ầbbầtïẽ̱llō
abbe,ẫbbē,ẫbbē̱
abbenhaus,ẫbbẹnhaus,ẫ̱bbẹnha̳us
abbett,ạbbẽtt,ạbbẽ̱tt
abbeville,ẫbbevílle,ẫ̱bbḛvíllḛ
abbey,ẫbbeÿ,ẫ̱bbḛÿ
abbey's,ẫbbeÿ's,ẫ̱bbḛÿ's
abbie,ẫbbïe,ẫ̱bbïḛ
abbitt,ẫbbítt,ẫ̱bbítt
abbot,ẫbbọt,ẫ̱bbọt
abbotstown,ẫbbọtstown,ẫ̱bbọtsto̱wn
abbott,ẫbbọtt,ẫ̱bbọtt
abbott's,ẫbbọtt's,ẫ̱bbọtt'̰s
abbottstown,ẫbbọttstown,ẫ̱bbọttsto̱wn
abboud,ạbboud,ạbbo̱ud
abbreviate,ạbbrếvïāte,ạbbrế̱vïā̳tḛ
abbreviated,ạbbrếvïātéd,ạbbrế̱vïā̳téd
abbreviates,ạbbrếvïātes,ạbbrế̱vïā̳tḛs
abbreviating,ạbbrếvïātíng,ạbbrế̱vïā̳tíng
abbreviation,ạbbrếvïātiọn,ạbbrế̳vïā̱tiọn
abbreviations,ạbbrếvïātiọns,ạbbrế̳vïā̱tiọns
abbruzzese,ầbbrüzzēsế,ầbbrüzz̰ē̱sế
abbs,ẫbbs,ẫ̱bbs
abby,ẫbbÿ,ẫ̱bbÿ
abc,ābc,ā̱b̳c̳
abc's,ābc's,ā̱b̳c'̳s
abco,ẫbcō,ẫ̱bcō
abcotek,ẫbcōtẽk,ẫ̱bcōtẽ̳k
abcs,ābcs,ā̱b̳c̳s
abd,ābd,ā̳b̳ḏ
abdalla,ẫbdẫllạ,ẫ̳bdẫ̱llạ
abdallah,ẫbdẫllạh,ẫ̳bdẫ̱llạh̰
abdel,ẫbdẽl,ẫ̱bdẽ̳l
abdella,ẫbdẽllạ,ẫ̳bdẽ̱llạ
abdicate,ẫbdịcāte,ẫ̱bdịcā̳tḛ
abdicated,ẫbdịcātéd,ẫ̱bdịcā̳téd
abdicates,ẫbdịcātes,ẫ̱bdịcā̳tḛs
abdicating,ẫbdícātíng,ẫ̱bdícā̳tíng
abdication,ẫbdícātiọn,ẫ̳bdícā̱tiọn
abdnor,ẫbdnor,ẫ̱bdnor
abdo,ẫbdō,ẫ̱bdō
abdollah,ẫbdồllạh,ẫ̳bdồ̱llạh̰
abdomen,ẫbdọmẹn,ẫ̱bdọmẹn
abdominal,ạbdồmịnạl,ạbdồ̱mịnạl
abduct,ẫbdùct,ẫbdù̱ct
abducted,ạbdùctéd,ạbdù̱ctéd
abductee,ẫbdùcteế,ẫbdù̳ctḛế̱
abductees,ẫbdùcteếs,ẫbdù̳ctḛế̱s
abducting,ạbdùctíng,ạbdù̱ctíng
abduction,ạbdùctiọn,ạbdù̱ctiọn
abductions,ạbdùctiọns,ạbdù̱ctiọns
abductor,ạbdùctor,ạbdù̱ctor
abductors,ạbdùctors,ạbdù̱ctors
abducts,ẫbdùcts,ẫbdù̱cts
abdul,ẫbdül,ẫbdü̱l
abdulaziz,ẫbdülạzïz,ẫbdü̳lạzï̱z
abdulla,ầbdüllạ,ầbdü̱llạ
abdullah,ẫbdùllạh,ẫ̳bdù̱llạh̰
abe,ābe,ā̱bḛ
abed,ạbẽd,ạbẽ̱d
abedi,ạbẽdï,ạbẽ̱dï
abee,ạbếe,ạbế̱ḛ
abel,ābẹl,ā̱bẹl
abela,ầbẽlạ,ầbẽ̱lạ
abelard,ẫbélard,ẫ̱bélard
abele,ạbẽle,ạbẽ̱lḛ
abeles,ābẹlếs,ā̱bẹlế̳s
abell,ābẹll,ā̱bẹll
abella,ạbẽllạ,ạbẽ̱llạ
abeln,ẫbéln,ẫ̱béln
abelow,ẫbẹlow,ẫ̱bẹlow
abels,ābẹls,ā̱bẹls
abelson,ẫbélsọn,ẫ̱bélsọn
abend,ạbẽnd,ạbẽ̱nd
abendroth,ẫbéndrổth,ẫ̱béndrổth
aber,āber,ā̱ber
abercrombie,ẫbercrồmbïe,ẫ̳bercrồ̱mbïḛ
aberdeen,ẫberdếen,ẫ̱berdế̳ḛn
aberford,āberford,ā̱berford
aberg,ẫberg,ẫ̱berg
aberle,ẫberle,ẫ̱berlḛ
abermin,ẫbermín,ẫ̱bermín
abernathy,ẫbernẫthÿ,ẫ̱bernẫ̳thÿ
abernethy,ẫbernẽthÿ,ẫ̱bernẽ̳thÿ
aberrant,ẫbẽrrạnt,ẫbẽ̱rr̰ạnt
aberration,ẫberrātiọn,ẫ̳berr̰ā̱tiọn
aberrational,ẫberrātiọnạl,ẫ̳berr̰ā̱tiọnạl
aberrations,ẫberrātiọns,ẫ̳berr̰ā̱tiọns
abert,ẫbert,ẫ̱bert
abet,ạbẽt,ạbẽ̱t
abetted,ạbẽttéd,ạbẽ̱ttéd
abetting,ạbẽttíng,ạbẽ̱ttíng
abex,ābẽx,ā̱bẽx
abeyance,ạbeyạnce,ạbe̱yạncḛ
abeyta,ầbeytạ,ầbe̱ytạ
abhor,ẫbhổr,ẫbhổ̱r
abhorred,ạbhổrred,ạbhổ̱rr̰ḛd
abhorrence,ạbhổrrẹnce,ạbhổ̱rr̰ẹncḛ
abhorrent,ẫbhổrrẹnt,ẫbhổ̱rr̰ẹnt
abhors,ạbhổrs,ạbhổ̱rs
abiam,ābïạm,ā̱bïạm
abiam's,ābïạm's,ā̱bïạm's
abid,ābíd,ā̱bíd
abide,ạbīde,ạbī̱dḛ
abided,ạbīdéd,ạbī̱déd
abides,ạbīdes,ạbī̱dḛs
abiding,ạbīdíng,ạbī̱díng
abidjan,ẫbídjần,ẫbíd̰jầ̱n
abie,ẫbïe,ẫ̱bïḛ
abigail,ẫbịgail,ẫ̱bịga̳il
abila,ầbïlạ,ầbï̱lạ
abilene,ẫbílếne,ẫ̱bílế̳nḛ
abilities,ạbílịtïes,ạbí̱lịtï̳ḛs
ability,ạbílịtÿ,ạbí̱lịtÿ̳
abimael,ẫbímāel,ẫ̳bímā̱ḛl
abimaels,ẫbímāels,ẫ̳bímā̱ḛls
abingdon,ẫbíngdọn,ẫ̱bíngdọn
abington,ẫbíngtọn,ẫ̱bíngtọn
abio,ầbïō,ầ̱bïō
abiola,ầbïōlạ,ầ̳bïō̱lạ
abiola's,ầbïōlạ's,ầ̳bïō̱lạ's
abiomed,ābïọmẽd,ābï̱ọmẽd
abiquiu,ạbíquïü,ạbí̱quïü
abitibi,ẫbítïbï,ẫ̳bítï̱bï
abitz,ẫbítz,ẫ̱bítz
abject,ẫbjẽct,ẫ̱bjẽct
abkhazia,ẫbkhẫzïạ,ẫbkh̰ẫ̱zïạ
abkhazian,ẫbkhẫzïạn,ẫbkh̰ẫ̱zïạn
abkhazians,ẫbkhẫzïạns,ẫbkh̰ẫ̱zïạns
ablate,àblāte,à̳blā̱tḛ
ablation,àblātiọn,à̳blā̱tiọn
ablaze,ạblāze,ạblā̱zḛ
able,āble,ā̱blḛ
able-bodied,āble-bồdïed,ā̱blḛ-̰bồ̱dïḛd
abled,ābled,ā̱blḛd
abler,ābler,ā̱bler
ables,ābles,ā̱blḛs
ablest,āblẹst,ā̱blẹst
abloom,ạbloom,ạblo̱om
ablution,ạblütiọn,ạblü̱tiọn
