word,vens-a,vens-b,vens-c
'bout,'bout,'̰bout,'̰bo̱ut
'cause,'caụse,'̰ca̰ụsḛ,'̰ca̰ụsḛ
'course,'course,'̰coursḛ,'̰co̱ursḛ
'cuse,'cūse,'̰cūsḛ,'̰cū̱sḛ
'em,'ẹm,'̰ẹm,'̰ẹm
'frisco,'fríscō,'̰fríscō,'̰frí̱scō
'gain,'gain,'̰gain,'̰ga̱in
'kay,'kay,'̰kay,'̰ka̱y
'm,'m,'m,'m
'n,'n,'n,'n
'round,'round,'̰round,'̰ro̱und
's,'s,'s,'̱s
'til,'tíl,'̰tíl,'̰tí̱l
'tis,'tís,'̰tís,'̰tí̱s
'twas,'twàs,'̰twàs,'̰twà̱s
a,ā,ā,ā̱
a's,ā's,ā's,ā̱'s
a.,a.,a̰.,a̰.̱
a.'s,a.'s,a̰.'s,a̰.̱'s
a.d.,a.d.,a.d.,a̳.d.̱
a.m.,ā.m.,ā.m.,ā̳.̱m.
a.s,a.s,a̰.s,a̰.̱s
aaberg,ầaberg,ầa̰berg,ầ̱a̰berg
aachen,ầachẹn,ầa̰ch̰ẹn,ầ̱a̰ch̰ẹn
aachener,ầachẹner,ầa̰ch̰ẹner,ầ̱a̰ch̰ẹner
aaker,ầaker,ầa̰ker,ầ̱a̰ker
aaliyah,ầaliyầh,ầa̰liyầh̰,ầ̳a̰li̱yầ̳h̰
aalseth,ầalsẽth,ầa̰lsẽth,ầ̱a̰lsẽth
aamodt,ầamọdt,ầa̰mọd̰t,ầ̱a̰mọd̰t
aancor,ầancổr,ầa̰ncổr,ầ̱a̰ncổ̳r
aardema,ầardẽmạ,ầa̰rdẽmạ,ầa̰rdẽ̱mạ
aardvark,ầardvầrk,ầa̰rdvầrk,ầ̱a̰rdvầ̳rk
aardvarks,ầardvầrks,ầa̰rdvầrks,ầ̱a̰rdvầ̳rks
aargh,ầargh,ầa̰rgh̰,ầ̱a̰rgh̰
aarhus,ầarhüs,ầa̰r̰hüs,ầ̳a̰r̰hü̱s
aaron,ãarọn,ãa̰rọn,ã̱a̰rọn
aaron's,ãarọn's,ãa̰rọn's,ã̱a̰rọn's
aarons,ãarọns,ãa̰rọns,ã̱a̰rọns
aaronson,ầarọnsọn,ầa̰rọnsọn,ầ̱a̰rọnsọn
aaronson's,ầarọnsọn's,ầa̰rọnsọn's,ầ̱a̰rọnsọn's
aarti,ầartï,ầa̰rtï,ầ̱a̰rtï̳
aase,ầase,ầa̰sḛ,ầ̱a̰sḛ
aasen,ầasẹn,ầa̰sẹn,ầ̱a̰sẹn
ab,āb,āb,ā̱ḇ
aba,ābā,ābā,ā̳b̳ā̱
ababa,ầbạbạ,ầbạbạ,ầ̱bạbạ
abacha,ẫbạchạ,ẫbạch̰ạ,ẫ̱bạch̰ạ
aback,ạbẫck,ạbẫck,ạbẫ̱ck
abaco,ẫbạcō,ẫbạcō,ẫ̱bạcō̳
abacus,ẫbạcụs,ẫbạcụs,ẫ̱bạcụs
abad,ạbầd,ạbầd,ạbầ̱d
abadaka,ạbẫdạkạ,ạbẫdạkạ,ạbẫ̱dạkạ
abadi,ạbẫdï,ạbẫdï,ạbẫ̱dï
abadie,ạbẫdïe,ạbẫdïḛ,ạbẫ̱dïḛ
abair,ạbair,ạbair,ạba̱ir
abalkin,ạbầlkín,ạbầlkín,ạbầ̱lkín
abalone,ẫbạlōnế,ẫbạlōnế,ẫ̳bạlō̱nế
abalones,ẫbạlōnếs,ẫbạlōnếs,ẫ̳bạlō̱nếs
abalos,ầbầlōs,ầbầlōs,ầbầ̱lōs
abandon,ạbẫndọn,ạbẫndọn,ạbẫ̱ndọn
abandoned,ạbẫndọned,ạbẫndọnḛd,ạbẫ̱ndọnḛd
abandoning,ạbẫndọníng,ạbẫndọníng,ạbẫ̱ndọníng
abandonment,ạbẫndọnmẹnt,ạbẫndọnmẹnt,ạbẫ̱ndọnmẹnt
abandonments,ạbẫndọnmẹnts,ạbẫndọnmẹnts,ạbẫ̱ndọnmẹnts
abandons,ạbẫndọns,ạbẫndọns,ạbẫ̱ndọns
abanto,ạbẫntō,ạbẫntō,ạbẫ̱ntō
abarca,ạbầrcạ,ạbầrcạ,ạbầ̱rcạ
abare,ầbầrế,ầbầrế,ầbầ̱rế
abascal,ẫbạscạl,ẫbạscạl,ẫ̱bạscạl
abash,ạbẫsh,ạbẫsh,ạbẫ̱sh
abashed,ạbẫshed,ạbẫshed,ạbẫ̱shed
abasia,ạbāsïạ,ạbāsïạ,ạbā̱sïạ
abate,ạbāte,ạbātḛ,ạbā̱tḛ
abated,ạbātéd,ạbātéd,ạbā̱téd
abatement,ạbātemẹnt,ạbātḛmẹnt,ạbā̱tḛmẹnt
abatements,ạbātemẹnts,ạbātḛmẹnts,ạbā̱tḛmẹnts
abates,ạbātes,ạbātḛs,ạbā̱tḛs
abating,ạbātíng,ạbātíng,ạbā̱tíng
abattoir,ẫbạttoir,ẫbạttoir,ẫ̳bạttoi̱r
abba,ẫbbạ,ẫbbạ,ẫ̱bbạ
abbado,ạbbầdō,ạbbầdō,ạbbầ̱dō
abbas,ạbbầs,ạbbầs,ạbbầ̱s
abbasi,ầbbầsï,ầbbầsï,ầbbầ̱sï
abbate,ầbbāte,ầbbātḛ,ầ̱bbātḛ
abbatiello,ầbbầtïẽllō,ầbbầtïẽllō,ầbbầtïẽ̱llō
abbe,ẫbbē,ẫbbē,ẫbbē̱
abbenhaus,ẫbbẹnhaus,ẫbbẹnhaus,ẫ̱bbẹnha̳us
abbett,ạbbẽtt,ạbbẽtt,ạbbẽ̱tt
abbeville,ẫbbevílle,ẫbbḛvíllḛ,ẫ̱bbḛvíllḛ
abbey,ẫbbeÿ,ẫbbḛÿ,ẫ̱bbḛÿ
abbey's,ẫbbeÿ's,ẫbbḛÿ's,ẫ̱bbḛÿ's
abbie,ẫbbïe,ẫbbïḛ,ẫ̱bbïḛ
abbitt,ẫbbítt,ẫbbítt,ẫ̱bbítt
abbot,ẫbbọt,ẫbbọt,ẫ̱bbọt
abbotstown,ẫbbọtstown,ẫbbọtstown,ẫ̱bbọtsto̱wn
abbott,ẫbbọtt,ẫbbọtt,ẫ̱bbọtt
abbott's,ẫbbọtt's,ẫbbọtt'̰s,ẫ̱bbọtt'̰s
abbottstown,ẫbbọttstown,ẫbbọttstown,ẫ̱bbọttsto̱wn
abboud,ạbboud,ạbboud,ạbbo̱ud
abbreviate,ạbbrếvïāte,ạbbrếvïātḛ,ạbbrế̱vïā̳tḛ
abbreviated,ạbbrếvïātéd,ạbbrếvïātéd,ạbbrế̱vïā̳téd
abbreviates,ạbbrếvïātes,ạbbrếvïātḛs,ạbbrế̱vïā̳tḛs
abbreviating,ạbbrếvïātíng,ạbbrếvïātíng,ạbbrế̱vïā̳tíng
abbreviation,ạbbrếvïātiọn,ạbbrếvïātiọn,ạbbrế̳vïā̱tiọn
abbreviations,ạbbrếvïātiọns,ạbbrếvïātiọns,ạbbrế̳vïā̱tiọns
abbruzzese,ầbbrüzzēsế,ầbbrüzz̰ēsế,ầbbrüzz̰ē̱sế
abbs,ẫbbs,ẫbbs,ẫ̱bbs
abby,ẫbbÿ,ẫbbÿ,ẫ̱bbÿ
abc,ābc,ābc,ā̱b̳c̳
abc's,ābc's,ābc's,ā̱b̳c'̳s
abco,ẫbcō,ẫbcō,ẫ̱bcō
abcotek,ẫbcōtẽk,ẫbcōtẽk,ẫ̱bcōtẽ̳k
abcs,ābcs,ābcs,ā̱b̳c̳s
abd,ābd,ābd,ā̳b̳ḏ
abdalla,ẫbdẫllạ,ẫbdẫllạ,ẫ̳bdẫ̱llạ
abdallah,ẫbdẫllạh,ẫbdẫllạh̰,ẫ̳bdẫ̱llạh̰
abdel,ẫbdẽl,ẫbdẽl,ẫ̱bdẽ̳l
abdella,ẫbdẽllạ,ẫbdẽllạ,ẫ̳bdẽ̱llạ
abdicate,ẫbdịcāte,ẫbdịcātḛ,ẫ̱bdịcā̳tḛ
abdicated,ẫbdịcātéd,ẫbdịcātéd,ẫ̱bdịcā̳téd
abdicates,ẫbdịcātes,ẫbdịcātḛs,ẫ̱bdịcā̳tḛs
abdicating,ẫbdícātíng,ẫbdícātíng,ẫ̱bdícā̳tíng
abdication,ẫbdícātiọn,ẫbdícātiọn,ẫ̳bdícā̱tiọn
abdnor,ẫbdnor,ẫbdnor,ẫ̱bdnor
abdo,ẫbdō,ẫbdō,ẫ̱bdō
abdollah,ẫbdồllạh,ẫbdồllạh̰,ẫ̳bdồ̱llạh̰
abdomen,ẫbdọmẹn,ẫbdọmẹn,ẫ̱bdọmẹn
abdominal,ạbdồmịnạl,ạbdồmịnạl,ạbdồ̱mịnạl
abduct,ẫbdùct,ẫbdùct,ẫbdù̱ct
abducted,ạbdùctéd,ạbdùctéd,ạbdù̱ctéd
abductee,ẫbdùcteế,ẫbdùctḛế,ẫbdù̳ctḛế̱
abductees,ẫbdùcteếs,ẫbdùctḛếs,ẫbdù̳ctḛế̱s
abducting,ạbdùctíng,ạbdùctíng,ạbdù̱ctíng
abduction,ạbdùctiọn,ạbdùctiọn,ạbdù̱ctiọn
abductions,ạbdùctiọns,ạbdùctiọns,ạbdù̱ctiọns
abductor,ạbdùctor,ạbdùctor,ạbdù̱ctor
abductors,ạbdùctors,ạbdùctors,ạbdù̱ctors
abducts,ẫbdùcts,ẫbdùcts,ẫbdù̱cts
abdul,ẫbdül,ẫbdül,ẫbdü̱l
abdulaziz,ẫbdülạzïz,ẫbdülạzïz,ẫbdü̳lạzï̱z
abdulla,ầbdüllạ,ầbdüllạ,ầbdü̱llạ
abdullah,ẫbdùllạh,ẫbdùllạh̰,ẫ̳bdù̱llạh̰
abe,ābe,ābḛ,ā̱bḛ
abed,ạbẽd,ạbẽd,ạbẽ̱d
abedi,ạbẽdï,ạbẽdï,ạbẽ̱dï
abee,ạbếe,ạbếḛ,ạbế̱ḛ
abel,ābẹl,ābẹl,ā̱bẹl
abela,ầbẽlạ,ầbẽlạ,ầbẽ̱lạ
abelard,ẫbélard,ẫbélard,ẫ̱bélard
abele,ạbẽle,ạbẽlḛ,ạbẽ̱lḛ
abeles,ābẹlếs,ābẹlếs,ā̱bẹlế̳s
abell,ābẹll,ābẹll,ā̱bẹll
abella,ạbẽllạ,ạbẽllạ,ạbẽ̱llạ
abeln,ẫbéln,ẫbéln,ẫ̱béln
abelow,ẫbẹlow,ẫbẹlow,ẫ̱bẹlow
abels,ābẹls,ābẹls,ā̱bẹls
abelson,ẫbélsọn,ẫbélsọn,ẫ̱bélsọn
abend,ạbẽnd,ạbẽnd,ạbẽ̱nd
abendroth,ẫbéndrổth,ẫbéndrổth,ẫ̱béndrổth
aber,āber,āber,ā̱ber
abercrombie,ẫbercrồmbïe,ẫbercrồmbïḛ,ẫ̳bercrồ̱mbïḛ
aberdeen,ẫberdếen,ẫberdếḛn,ẫ̱berdế̳ḛn
aberford,āberford,āberford,ā̱berford
aberg,ẫberg,ẫberg,ẫ̱berg
aberle,ẫberle,ẫberlḛ,ẫ̱berlḛ
abermin,ẫbermín,ẫbermín,ẫ̱bermín
abernathy,ẫbernẫthÿ,ẫbernẫthÿ,ẫ̱bernẫ̳thÿ
abernethy,ẫbernẽthÿ,ẫbernẽthÿ,ẫ̱bernẽ̳thÿ
aberrant,ẫbẽrrạnt,ẫbẽrr̰ạnt,ẫbẽ̱rr̰ạnt
aberration,ẫberrātiọn,ẫberr̰ātiọn,ẫ̳berr̰ā̱tiọn
aberrational,ẫberrātiọnạl,ẫberr̰ātiọnạl,ẫ̳berr̰ā̱tiọnạl
aberrations,ẫberrātiọns,ẫberr̰ātiọns,ẫ̳berr̰ā̱tiọns
abert,ẫbert,ẫbert,ẫ̱bert
abet,ạbẽt,ạbẽt,ạbẽ̱t
abetted,ạbẽttéd,ạbẽttéd,ạbẽ̱ttéd
abetting,ạbẽttíng,ạbẽttíng,ạbẽ̱ttíng
abex,ābẽx,ābẽx,ā̱bẽx
abeyance,ạbeyạnce,ạbeyạncḛ,ạbe̱yạncḛ
abeyta,ầbeytạ,ầbeytạ,ầbe̱ytạ
abhor,ẫbhổr,ẫbhổr,ẫbhổ̱r
abhorred,ạbhổrred,ạbhổrr̰ḛd,ạbhổ̱rr̰ḛd
abhorrence,ạbhổrrẹnce,ạbhổrr̰ẹncḛ,ạbhổ̱rr̰ẹncḛ
